date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-01-29,2026,1,29,311,UNC Greensboro,UNC Greensboro,SC,21.0,8-13,107.4201,121.1354,0.2010311,67.1189,-9.8312,50.6194,56.6347,15.683,13.2352,28.1267,29.713,44.518,30.665,49.4258,56.0314,34.9122,38.2349,39.3191,45.6336
2026-01-29,2026,1,29,312,Northern Illinois,Northern Illinois,MAC,20.0,7-13,99.5321,112.3254,0.2005312,66.9199,-9.2301,48.5287,54.4294,22.436,17.6139,35.256,31.9225,39.39,42.0316,49.1273,56.9327,31.9266,33.6159,46.045,38.3139
2026-01-29,2026,1,29,313,Houston Christian,Houston Christian,Slnd,21.0,8-13,105.324,119.1341,0.1954313,63.6339,-9.5307,51.6165,56.3339,19.4313,17.0176,30.8182,32.023,37.9118,29.959,51.7175,57.0328,34.416,36.9321,36.9232,40.7218
2026-01-29,2026,1,29,314,Eastern Illinois,Eastern Illinois,OVC,21.0,9-12,95.1354,107.8148,0.1921314,65.2287,-7.9264,44.8352,49.9114,19.7327,19.264,27.2291,36.4346,33.0243,36.8216,44.2354,54.3275,30.8315,29.09,31.2338,41.0231
2026-01-29,2026,1,29,315,Texas Southern,Texas Southern,SWAC,19.0,6-13,103.1272,117.0319,0.1904315,69.096,-8.3278,49.5248,55.6327,18.929,16.1236,27.2291,32.023,39.778,46.5352,49.4258,58.2349,33.2214,34.8222,33.6311,43.0288
2026-01-29,2026,1,29,316,Alabama St.,Alabama St.,SWAC,20.0,6-14,103.1273,117.032,0.1896316,69.478,-9.3306,47.7308,54.4294,18.6275,19.072,32.1141,35.2326,36.5162,41.1304,46.7322,54.9289,32.9227,35.828,38.0214,42.1261
2026-01-29,2026,1,29,317,Bellarmine,Bellarmine,ASun,21.0,8-13,111.2129,126.6364,0.1842317,64.631,-9.0294,57.615,59.8365,16.1115,15.2292,21.3359,35.0324,37.513,33.7131,60.75,60.0361,35.495,39.7364,40.9153,51.7362
2026-01-29,2026,1,29,318,Stetson,Stetson,ASun,21.0,7-14,102.3288,116.4311,0.1836318,67.3185,-9.6308,50.1226,55.733,19.3309,15.7261,25.4332,32.023,33.9221,30.462,51.4187,59.2356,32.3242,33.9178,44.677,41.3237
2026-01-29,2026,1,29,319,Wagner,Wagner,NEC,18.0,6-12,106.222,121.2355,0.1810319,65.4277,-9.3305,51.8155,51.1174,19.2305,14.6315,32.712,32.7265,30.3298,46.1347,47.73,49.087,39.59,36.5306,35.227,37.3112
2026-01-29,2026,1,29,320,Lafayette,Lafayette,Pat,22.0,6-16,101.8295,116.1306,0.181032,67.0197,-12.6353,49.0269,53.9279,15.683,15.4283,26.2316,30.1144,32.226,34.014,47.3311,52.5215,34.416,37.5339,39.6184,37.7123
2026-01-29,2026,1,29,321,UMass Lowell,UMass Lowell,AE,21.0,8-13,101.2305,115.53,0.1803321,69.383,-9.0295,49.5248,54.3291,19.7327,15.13,30.3198,31.6215,37.1143,29.857,49.5253,54.3275,33.0222,36.129,32.3325,35.761
2026-01-29,2026,1,29,322,Louisiana,Louisiana,SB,21.0,5-16,97.1343,111.1232,0.1750322,62.436,-12.4351,46.7325,52.2227,18.4263,17.8128,26.531,31.822,26.1356,46.1347,45.8335,50.112,31.8272,37.1327,45.067,37.3112
2026-01-29,2026,1,29,323,West Georgia,West Georgia,ASun,21.0,10-11,101.7297,116.7314,0.1717323,68.1136,-7.1241,48.9272,55.733,17.1182,15.0302,31.7156,30.7165,29.0321,35.1171,47.4309,56.7322,34.7135,36.0286,33.8308,37.5118
2026-01-29,2026,1,29,324,North Florida,North Florida,ASun,21.0,5-16,110.8137,127.2365,0.1693324,70.734,-10.7334,53.975,58.136,18.4263,13.2352,23.9347,39.8363,25.3359,32.9113,53.9104,61.4364,35.968,35.426,53.05,39.6179
2026-01-29,2026,1,29,325,Little Rock,Little Rock,OVC,20.0,9-11,102.0292,117.4324,0.1650325,65.8252,-7.9268,50.3211,55.0312,20.334,19.458,31.7156,36.1341,30.2301,31.174,48.3288,55.2298,36.643,36.6311,31.3336,42.5273
